first_time_homebuyer_flag,borrowers_num,orig_UPB,orig_interest_rate,program_ind,zero_balance_effective_date,loan_purpose,LTV,units_numb,id_loan,maturity_date,occupancy_status,period,DTI_ratio,orig_loan_term,channel,Unnamed: 0,first_payment_date,cens,CLTV,MI_%,property_state,zero_balance_code,postal_code,MI_cancel_flag,int_only_flag,PPM_flag,property_type,property_val_method,time,amortization_type,service_name,seller_name
N,1,29000,7.1,9,,C,75,1,F99Q10009465,202902,P,2017-12-01,36,360,R,7653,199903,False,75,0,MI,-1.0,48600,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,141000,7.125,9,,N,66,1,F99Q10009547,202903,I,2017-12-01,35,360,R,7736,199904,False,66,0,TN,-1.0,37200,9,N,N,SF,9,227,FRM,Other servicers,FIFTH THIRD BANK
N,2,130000,6.875,9,,N,80,1,F99Q10009550,202903,P,2017-12-01,65,360,R,7740,199904,False,80,0,KY,-1.0,41000,9,N,N,SF,9,227,FRM,Other servicers,FIFTH THIRD BANK
N,2,38000,7.25,9,,C,58,1,F99Q10009580,202903,I,2017-12-01,39,360,R,7771,199904,False,58,0,OH,-1.0,43000,9,N,N,SF,9,227,FRM,Other servicers,FIFTH THIRD BANK
N,2,94000,7.25,9,,C,75,1,F99Q10009714,202903,P,2017-12-01,20,360,R,7906,199904,False,75,0,IN,-1.0,46900,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,1,47000,7.375,9,,C,53,1,F99Q10009848,202402,P,2017-12-01,31,300,R,8039,199903,False,53,0,MI,-1.0,48800,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,56000,7.375,9,,N,78,1,F99Q10009849,202902,P,2017-12-01,32,360,R,8041,199903,False,78,0,MI,-1.0,48800,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,100000,7.0,9,,P,95,1,F99Q10009892,202902,P,2017-12-01,30,360,R,8085,199903,False,95,30,MI,-1.0,49000,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,74000,7.125,9,,P,79,1,F99Q10010307,202902,P,2017-12-01,29,360,R,8497,199903,False,79,0,IN,-1.0,46000,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,61000,7.25,9,,N,87,1,F99Q10010364,202902,P,2017-12-01,30,360,R,8554,199903,False,87,25,IL,-1.0,62200,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,42000,7.0,9,,C,65,1,F99Q10010628,202902,P,2017-12-01,36,360,R,8815,199903,False,65,0,MI,-1.0,48600,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
Y,1,48000,7.0,9,201701.0,P,80,2,F99Q10010719,202903,P,2017-01-01,29,360,R,8906,199904,True,80,0,OH,1.0,43600,9,N,N,SF,9,216,FRM,Other servicers,FIFTH THIRD BANK
N,2,72000,7.125,9,,P,73,1,F99Q10010767,202903,P,2017-12-01,24,360,R,8955,199904,False,73,0,WI,-1.0,53400,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,56000,7.125,9,,N,74,1,F99Q10010892,202902,P,2017-12-01,32,360,R,9080,199903,False,74,0,OH,-1.0,45300,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,60000,6.5,9,,P,72,1,F99Q10011111,202902,P,2017-12-01,21,360,R,9298,199903,False,72,0,CA,-1.0,92300,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,69000,6.875,9,,N,64,1,F99Q10011124,202902,P,2017-12-01,15,360,R,9312,199903,False,64,0,ND,-1.0,58100,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,49000,6.99,9,,N,80,1,F99Q10011134,202903,P,2017-12-01,48,360,R,9323,199904,False,80,0,WI,-1.0,54700,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,63000,7.125,9,,N,78,1,F99Q10011153,202902,P,2017-12-01,35,360,R,9343,199903,False,78,0,IL,-1.0,62800,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,75000,7.0,9,,C,72,1,F99Q10011161,202904,P,2017-12-01,60,360,R,9352,199905,False,72,0,IL,-1.0,60500,9,N,N,SF,9,226,FRM,Other servicers,FIFTH THIRD BANK
N,2,90000,6.875,9,,C,80,1,F99Q10011210,202904,P,2017-12-01,40,360,T,9402,199905,False,80,0,IN,-1.0,46300,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,1,66000,7.25,9,,C,80,1,F99Q10011214,202904,P,2017-12-01,33,360,T,9407,199905,False,80,0,IL,-1.0,60400,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,2,150000,6.75,9,,C,77,1,F99Q10011262,202903,P,2017-12-01,44,360,R,9455,199904,False,77,0,MN,-1.0,55300,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,146000,6.75,9,,P,73,1,F99Q10011276,202902,P,2017-12-01,42,360,T,9470,199903,False,73,0,IL,-1.0,60500,9,N,N,SF,9,228,FRM,"BANK OF AMERICA, N.A.",Other sellers
N,2,58000,7.125,9,,C,75,1,F99Q10011415,202902,P,2017-12-01,28,360,R,9608,199903,False,75,0,MI,-1.0,49100,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
Y,1,39000,7.25,9,,P,97,1,F99Q10011566,202902,P,2017-12-01,26,360,R,9650,199903,False,97,18,IN,-1.0,46100,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,150000,6.375,9,,C,66,1,F99Q10012255,202904,P,2017-12-01,31,360,T,10075,199905,False,66,0,NJ,-1.0,8500,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,1,32000,6.875,9,,N,72,1,F99Q10012432,202904,P,2017-12-01,20,360,R,10250,199905,False,72,0,KY,-1.0,41100,9,N,N,SF,9,226,FRM,Other servicers,FIFTH THIRD BANK
N,2,92000,6.625,9,,C,75,1,F99Q10012533,202902,P,2017-12-01,33,360,R,10350,199903,False,75,0,OH,-1.0,45500,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,67000,7.0,9,,N,80,1,F99Q10012584,202903,P,2017-12-01,30,360,R,10402,199904,False,80,0,OH,-1.0,45000,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,1,62000,7.0,9,,P,78,1,F99Q10012772,202903,P,2017-12-01,25,360,R,10586,199904,False,78,0,OH,-1.0,44800,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,140000,7.0,9,,P,90,1,F99Q10012869,202901,P,2017-12-01,42,360,R,10681,199902,False,90,25,KY,-1.0,41000,9,N,N,SF,9,229,FRM,"BANK OF AMERICA, N.A.",Other sellers
N,2,43000,7.0,9,201707.0,N,67,1,F99Q10012943,201901,P,2017-07-01,11,240,T,10756,199902,True,67,0,IL,1.0,61800,9,N,N,SF,9,224,FRM,Other servicers,Other sellers
Y,2,80000,7.0,9,201701.0,P,90,1,F99Q10012963,202902,P,2017-01-01,22,360,R,10776,199903,True,90,25,IL,9.0,60900,9,N,N,SF,9,217,FRM,Other servicers,Other sellers
N,2,100000,7.125,9,201711.0,N,80,1,F99Q10013107,202902,P,2017-11-01,19,360,R,10917,199903,True,80,0,WI,1.0,53100,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,79000,7.875,9,,N,80,1,F99Q10013122,202902,P,2017-12-01,42,360,R,10933,199903,False,80,0,IN,-1.0,47300,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,83000,6.75,9,,N,92,1,F99Q10013292,202902,P,2017-12-01,47,360,T,11102,199903,False,92,30,NJ,-1.0,8400,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,50000,7.05,9,,N,70,1,F99Q10013368,202903,P,2017-12-01,17,360,R,11178,199904,False,70,0,MI,-1.0,48600,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,1,87000,7.125,9,,N,80,1,F99Q10013441,202902,P,2017-12-01,28,360,T,11251,199903,False,80,0,MI,-1.0,48800,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,44000,7.2,9,,P,80,1,F99Q10013592,202902,P,2017-12-01,10,360,T,11401,199903,False,80,0,IL,-1.0,61400,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,114000,6.875,9,,C,62,1,F99Q10013602,201902,P,2017-12-01,26,240,R,11412,199903,False,62,0,OH,-1.0,45200,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,60000,6.625,9,,C,80,1,F99Q10014103,201903,P,2017-12-01,34,240,R,11908,199904,False,80,0,OH,-1.0,43200,9,N,N,SF,9,227,FRM,FIFTH THIRD BANK,FIFTH THIRD BANK
N,2,145000,6.875,9,,P,80,1,F99Q10014254,202902,P,2017-12-01,19,360,T,12059,199903,False,80,0,OH,-1.0,44200,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,1,53000,6.875,9,,N,68,1,F99Q10014412,202904,P,2017-12-01,63,360,R,12211,199905,False,68,0,FL,-1.0,32700,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,1,79000,6.875,9,,N,89,1,F99Q10014478,202903,P,2017-12-01,37,360,T,12278,199904,False,89,25,KS,-1.0,66600,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,2,75000,7.0,9,,C,75,1,F99Q10014936,202904,P,2017-12-01,21,360,R,12734,199905,False,75,0,OH,-1.0,45300,9,N,N,SF,9,226,FRM,Other servicers,Other sellers
N,1,192000,6.75,9,,C,80,1,F99Q10015044,202903,P,2017-12-01,47,360,T,12840,199904,False,80,0,CA,-1.0,91700,9,N,N,SF,9,227,FRM,Other servicers,Other sellers
N,1,69000,7.0,9,,N,62,1,F99Q10015078,202902,P,2017-12-01,27,360,R,12875,199903,False,62,0,IL,-1.0,62800,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
N,2,55000,7.375,9,,N,79,1,F99Q10015109,202902,P,2017-12-01,32,360,R,12907,199903,False,79,0,IN,-1.0,47300,9,N,N,SF,9,228,FRM,Other servicers,Other sellers
